Name,Certification_Code__c,Track__c,Level__c,Cost__c,Notes__c
Platform Foundations,Plat-101,Foundations,Entry,75,
Sales Foundations,Sales-101,Foundations,Entry,75,
Marketing Cloud Engagement Foundations,MC-101,Foundations,Entry,75,
Tableau Desktop Foundations,Analytics-101,Foundations,Entry,75,
MuleSoft Integration Foundations,Mule-101,Foundations,Entry,75,
AI Associate,AI-Assoc,AI / Agentforce,Entry,0,Retiring 2026
Agentforce Specialist,Agent-Spec,AI / Agentforce,Mid,200,Formerly AI Specialist
Platform Administrator,Plat-Admn-201,Administrator,Mid,200,
Platform Administrator II,Plat-Admn-301,Administrator,Mid,200,Formerly Advanced Administrator
Platform App Builder,Plat-Admn-202,Administrator,Mid,200,
Slack Administrator,Slack-Admn-201,Administrator,Entry,200,
Tableau Server Administrator,Analytics-Admn-201,Administrator,Mid,200,
CPQ Administrator,Sales-Admn-202,Administrator,Mid,200,
Marketing Cloud Engagement Administrator,MCE-Admn-201,Administrator,Entry,200,
Platform User Experience Designer,Plat-UX-101,Designer,Mid,200,
Platform Strategy Designer,Plat-UX-102,Designer,Mid,200,
Sales Cloud Consultant,Sales-Con-201,Consultant,Mid,200,
Service Cloud Consultant,Service-Con-201,Consultant,Mid,200,
Experience Cloud Consultant,EX-Con-101,Consultant,Mid,200,
Field Service Consultant,FS-Con-101,Consultant,Mid,200,
Data Cloud Consultant,Data-Con-101,Consultant,Mid,200,
Education Cloud Consultant,ED-Con-101,Consultant,Mid,200,
Nonprofit Cloud Consultant (NPC),NP-Con-102,Consultant,Mid,200,
Nonprofit Success Pack Consultant,NP-Con-101,Consultant,Mid,200,
OmniStudio Consultant,Plat-Con-201,Consultant,Senior,200,
Slack Consultant,Slack-Con-201,Consultant,Mid,100,
Business Analyst,BA-201,Consultant,Mid,200,
CRM Analytics and Einstein Discovery Consultant,Analytics-Con-201,Consultant,Mid,200,
MuleSoft Catalyst Consultant,Mule-Con-201,Consultant,Senior,200,
Marketing Cloud Engagement Consultant,MCE-Con-201,Consultant,Mid,200,
Marketing Cloud Account Engagement Consultant,MCAE-Con-201,Consultant,Mid,200,Formerly Pardot Consultant
Tableau Consultant,Analytics-Con-301,Consultant,Senior,200,
Revenue Cloud Consultant,Rev-Con-201,Consultant,Mid,200,
Tableau Data Analyst,Analytics-DA-201,Consultant,Mid,200,
Platform Developer,Plat-Dev-201,Developer,Mid,200,
Platform Developer II,Plat-Dev-301,Developer,Mid,200,
JavaScript Developer,JS-Dev-101,Developer,Entry,200,
Industries CPQ Developer,Ind-Dev-201,Developer,Mid,200,
OmniStudio Developer,Plat-Dev-210,Developer,Mid,200,
B2C Commerce Cloud Developer,Comm-Dev-101,Developer,Mid,200,
MuleSoft Hyperautomation Developer,Mule-Dev-202,Developer,Senior,200,
MuleSoft Developer,Mule-Dev-201,Developer,Mid,200,
MuleSoft Developer II,Mule-Dev-301,Developer,Senior,200,
Slack Developer,Slack-Dev-201,Developer,Mid,200,
Marketing Cloud Email Specialist,MC-202,Marketer,Mid,200,
Marketing Cloud Engagement Developer,MCE-Dev-201,Marketer,Senior,200,
Marketing Cloud Account Engagement Specialist,MC-201,Marketer,Entry,200,Formerly Pardot Specialist
Platform Identity and Access Management Architect,Plat-Arch-203,Architect,Senior,400,
Platform Integration Architect,Plat-Arch-204,Architect,Senior,400,
Platform Development Lifecycle and Deployment Architect,Plat-Arch-202,Architect,Senior,400,
Platform Data Architect,Plat-Arch-201,Architect,Senior,400,
Platform Sharing and Visibility Architect,Plat-Arch-205,Architect,Senior,400,
System Architect,Sys-Arch,Architect,Senior,0,Umbrella credential auto-awarded with prereqs
Application Architect,App-Arch,Architect,Senior,0,Umbrella credential auto-awarded with prereqs
B2B Solution Architect,Arch-301,Architect,Senior,400,
B2C Solution Architect,Arch-302,Architect,Senior,400,
B2C Commerce Architect,Arch-303,Architect,Senior,400,
Heroku Architect,Plat-Arch-206,Architect,Mid,400,
Tableau Architect,Analytics-Arch-201,Architect,Senior,400,
MuleSoft Platform Architect,Mule-Arch-201,Architect,Senior,400,
MuleSoft Platform Integration Architect,Mule-Arch-202,Architect,Senior,400,
Technical Architect - Architect Evaluation,CTA-Eval,Architect,Senior,1500,Prep stage
Certified Technical Architect (CTA) - Review Board,CTA-Board,Architect,Senior,6000,
B2B Commerce for Administrators Accredited Professional,AP-201,Accredited Professional,Specialty,150,
B2B Commerce for Developers Accredited Professional,AP-202,Accredited Professional,Specialty,150,
Communications Cloud Accredited Professional,AP-203,Accredited Professional,Specialty,150,
Consumer Goods Cloud Accredited Professional,AP-204,Accredited Professional,Specialty,150,
Consumer Goods Cloud Trade Promotion Management Accredited Professional,AP-205,Accredited Professional,Specialty,150,
Energy and Utilities Cloud Accredited Professional,AP-207,Accredited Professional,Specialty,150,
Financial Services Cloud Accredited Professional,AP-208,Accredited Professional,Specialty,150,
Advanced Field Service Accredited Professional,AP-209,Accredited Professional,Specialty,150,
Health Cloud Accredited Professional,AP-211,Accredited Professional,Specialty,150,
Loyalty Management Accredited Professional,AP-212,Accredited Professional,Specialty,150,
Manufacturing Cloud Accredited Professional,AP-213,Accredited Professional,Specialty,150,
Marketing Cloud Advanced Cross Channel Accredited Professional,AP-214,Accredited Professional,Specialty,150,
Marketing Cloud Intelligence Accredited Professional,AP-215,Accredited Professional,Specialty,150,
Marketing Cloud Personalization Accredited Professional,AP-216,Accredited Professional,Specialty,150,
Media Cloud Accredited Professional,AP-217,Accredited Professional,Specialty,150,
Net Zero Cloud Accredited Professional,AP-218,Accredited Professional,Specialty,150,
Order Management Administrator Accredited Professional,AP-219,Accredited Professional,Specialty,150,
Order Management Developer Accredited Professional,AP-220,Accredited Professional,Specialty,150,
Process Automation Accredited Professional,AP-221,Accredited Professional,Specialty,150,
Public Sector Solutions Accredited Professional,AP-222,Accredited Professional,Specialty,150,
CPQ and Billing Consultant Accredited Professional,AP-223,Accredited Professional,Specialty,150,
Heroku Developer Accredited Professional,AP-225,Accredited Professional,Specialty,150,
Contact Center Accredited Professional,AP-226,Accredited Professional,Specialty,150,
